exec_times,time
0,failed
1,0.053031
2,failed
3,failed
4,failed
5,0.075697
6,failed
7,failed
8,0.093324
9,failed
10,0.031129
11,failed
12,failed
13,0.009487
14,1.709396
15,0.019990
16,failed
17,failed
18,failed
19,failed
20,failed
21,failed
22,1.430266
23,failed
24,failed
25,0.043852
26,0.313606
27,failed
28,0.000069
29,failed
30,1.687032
31,1.071605
32,failed
33,1.458616
34,failed
35,0.812829
36,failed
37,failed
38,failed
39,0.314169
40,0.013349
41,0.083690
42,0.000555
43,failed
44,0.247923
45,failed
46,failed
47,1.329165
48,0.679247
49,0.087452
50,0.087069
51,failed
52,0.546042
53,0.015992
54,0.664098
55,1.115199
56,failed
57,failed
58,0.457950
59,0.017276
60,0.064123
61,failed
62,failed
63,0.000377
64,failed
65,0.410892
66,0.048813
67,failed
68,1.176188
69,0.058029
70,0.049820
71,failed
72,0.014324
73,failed
74,failed
75,failed
76,failed
77,0.010732
78,0.228817
79,failed
80,failed
81,failed
82,failed
83,failed
84,1.356309
85,0.007783
86,failed
87,failed
88,failed
89,failed
90,1.684110
91,failed
92,0.041489
93,failed
94,0.000028
95,failed
96,failed
97,failed
98,failed
99,failed
,
68,failed,,,,
69,failed,,,,
70,0.025638,,,,
71,failed,,,,
72,failed,,,,
73,failed,,,,
74,failed,,,,
75,failed,,,,
76,failed,,,,
77,0.683801,,,,
78,failed,,,,
79,0.329226,,,,
80,failed,,,,
81,failed,,,,
82,failed,,,,
83,failed,,,,
84,failed,,,,
85,0.230809,,,,
86,failed,,,,
87,failed,,,,
88,failed,,,,
89,failed,,,,
90,failed,,,,
91,failed,,,,
92,failed,,,,
93,failed,,,,
94,0.001908,,,,
95,0.056867,,,,
96,0.255673,,,,
97,failed,,,,
98,failed,,,,
99,failed,,,,
